place|confirmed_cases|deaths|notes|sources
Thailand|14|0||https://news.thaipbs.or.th/content/288389
Singapore|10|0|Stable|https://www.moh.gov.sg/news-highlights/details/three-more-confirmed-imported-cases-of-wuhan-coronavirus-infection-in-singapore
France|5|0|2 serious|https://www.bfmtv.com/sante/coronavirus-en-france-un-cinquieme-cas-confirme-la-fille-du-touriste-chinois-hospitalise-a-paris-1849280.html
Malaysia|7|0|Stable|https://kpkesihatan.com/2020/01/29/kenyataan-akhbar-kpk-29-januari-2020-situasi-terkini-jangkitan-2019-ncov-di-malaysia-dan-kesiapsiagaan-kkm-menghadapi-penularannya/
Japan|8|0||https://www.mhlw.go.jp/stf/newpage_09201.html
South Korea|4|0||https://en.yna.co.kr/view/AEN20200127002400320?section=science/medicine
United States|5|0||https://www.azdhs.gov/director/public-information-office/index.php#news-release-012620
Vietnam|2|0|Stable|https://www.moh.gov.vn/web/guest/tin-noi-bat/-/asset_publisher/hwUjUacn23Hf/content/hai-ca-duong-tinh-ncov-ang-ieu-tri-tai-bv-cho-ray
Nepal|1|0||https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Australia|7|0|Stable|https://bnonews.com/wp-content/uploads/2020/01/1292020QueenslandCase.png
Canada|3|0||http://www.bccdc.ca/about/news-stories/stories/2020/information-on-novel-coronavirus
Cambodia|1|0||https://twitter.com/VOD_English/status/1221769368180121603
Sri Lanka|1|0||https://www.reuters.com/article/us-health-china-sri-lanka/sri-lanka-confirms-first-case-of-coronavirus-health-official-idUSKBN1ZQ1WF
Germany|4|0||https://www.stmgp.bayern.de/presse/drei-weitere-coronavirus-faelle-in-bayern-zusammenhang-mit-dem-ersten-fall-bayerns/
UAE|4|0|Stable|https://www.wam.ae/en/details/1395302819592
Finland|1|0||https://www.hs.fi/kotimaa/art-2000006387778.html
INTERNATIONAL TOTAL|77|0||
