place|confirmed_cases|deaths|notes|sources
Thailand|5|0||https://www.bangkokpost.com/thailand/general/1842939/fifth-coronavirus-case-in-thailand
Singapore|4|0|Stable|https://www.straitstimes.com/singapore/health/singapore-confirms-2-more-wuhan-virus-cases-bringing-total-to-three-infected
France|3|0||https://solidarites-sante.gouv.fr/actualites/presse/communiques-de-presse/article/cp-coronavirus
Malaysia|4|0||https://twitter.com/bernamadotcom/status/1220913295021883392
Japan|3|0||https://www.mhlw.go.jp/stf/newpage_09099.html
South Korea|2|0||https://en.yna.co.kr/view/AEN20200124001200320?section=news
United States|2|0||https://www.cdc.gov/media/releases/2020/p0124-second-travel-coronavirus.html
Vietnam|2|0|Stable|https://www.moh.gov.vn/web/guest/tin-noi-bat/-/asset_publisher/hwUjUacn23Hf/content/hai-ca-duong-tinh-ncov-ang-ieu-tri-tai-bv-cho-ray
Nepal|1|0||https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Australia|4|0||https://www.sbs.com.au/news/calm-urged-as-china-s-coronavirus-reaches-australia-with-4-confirmed-cases
INTERNATIONAL TOTAL|30|0||
